iter	Passed	Remaining
0	57	57413
1	57	28859
2	58	19353
3	58	14571
4	58	11723
5	59	9819
6	59	8459
7	59	7427
8	60	6638
9	60	6002
10	60	5481
11	61	5054
12	61	4691
13	62	4374
14	62	4100
15	62	3856
16	62	3640
17	63	3450
18	63	3277
19	63	3122
20	63	2982
21	64	2857
22	64	2743
23	64	2637
24	65	2539
25	65	2449
26	65	2366
27	66	2292
28	66	2223
29	66	2155
30	66	2092
31	67	2032
32	67	1978
33	67	1926
34	68	1878
35	68	1833
36	68	1789
37	69	1749
38	69	1710
39	69	1672
40	69	1636
41	70	1602
42	70	1569
43	70	1539
44	71	1509
45	71	1482
46	71	1455
47	72	1428
48	72	1403
49	72	1378
50	72	1355
51	73	1335
52	73	1313
53	73	1292
54	74	1272
55	74	1252
56	74	1234
57	74	1217
58	75	1201
59	75	1184
60	75	1168
61	76	1154
62	76	1138
63	76	1124
64	77	1109
65	77	1096
66	77	1084
67	78	1071
68	78	1058
69	78	1046
70	79	1033
71	79	1022
72	79	1011
73	79	1000
74	80	989
75	80	979
76	80	969
77	81	959
78	81	949
79	81	940
80	82	930
81	82	921
82	82	910
83	82	901
84	82	893
85	83	884
86	83	877
87	83	868
88	84	861
89	84	853
90	84	845
91	84	838
92	85	831
93	85	825
94	85	818
95	86	813
96	86	806
97	86	800
98	87	794
99	87	788
100	87	781
101	88	775
102	88	770
103	88	764
104	89	759
105	89	754
106	89	748
107	89	742
108	90	737
109	90	732
110	90	727
111	91	722
112	91	717
113	91	712
114	92	708
115	92	703
116	92	697
117	92	693
118	92	688
119	93	684
120	93	680
121	93	675
122	94	670
123	94	666
124	94	662
125	95	659
126	95	654
127	95	650
128	95	647
129	96	644
130	96	640
131	96	637
132	97	633
133	97	629
134	97	626
135	98	622
136	98	619
137	98	615
138	98	611
139	99	608
140	99	605
141	99	600
142	99	597
143	99	594
144	100	591
145	100	588
146	100	584
147	101	581
148	101	578
149	101	575
150	101	573
151	102	570
152	102	568
153	102	565
154	103	562
155	103	559
156	103	557
157	104	555
158	104	552
159	104	550
160	104	547
161	105	544
162	105	542
163	105	540
164	106	537
165	106	535
166	106	533
167	107	530
168	107	528
169	107	526
170	108	524
171	108	521
172	108	519
173	108	516
174	109	514
175	109	512
176	109	510
177	110	507
178	110	505
179	110	503
180	110	501
181	111	500
182	111	498
183	111	496
184	112	494
185	112	493
186	113	491
187	113	489
188	113	488
189	114	486
190	114	485
191	114	483
192	115	481
193	115	479
194	115	478
195	116	476
196	116	475
197	116	473
198	117	471
199	117	469
200	117	468
201	118	466
202	118	464
203	118	462
204	118	461
205	119	459
206	119	457
207	119	455
208	120	454
209	120	452
210	120	451
211	120	449
212	121	447
213	121	446
214	122	445
215	122	444
216	122	442
217	123	441
218	123	439
219	123	438
220	123	437
221	124	435
222	124	434
223	125	433
224	125	431
225	125	430
226	126	429
227	126	428
228	126	426
229	127	425
230	127	424
231	127	423
232	128	421
233	128	420
234	128	418
235	129	417
236	129	416
237	129	415
238	130	414
239	130	412
240	130	411
241	130	410
242	131	408
243	131	407
244	131	406
245	132	405
246	132	404
247	132	402
248	133	401
249	133	400
250	133	399
251	134	398
252	134	397
253	134	396
254	135	394
255	135	393
256	135	392
257	135	391
258	136	389
259	136	389
260	137	388
261	137	387
262	137	385
263	137	384
264	138	383
265	138	382
266	138	381
267	139	380
268	139	379
269	139	377
270	140	377
271	140	377
272	141	375
273	141	375
274	141	374
275	142	372
276	142	371
277	142	370
278	143	369
279	143	368
280	143	367
281	144	366
282	144	365
283	144	364
284	144	363
285	145	362
286	145	361
287	145	360
288	146	359
289	146	359
290	147	358
291	147	357
292	147	356
293	147	355
294	148	354
295	148	352
296	148	351
297	148	350
298	149	349
299	149	348
300	149	347
301	150	346
302	150	345
303	150	345
304	151	344
305	151	343
306	151	342
307	152	341
308	152	340
309	152	340
310	153	339
311	153	338
312	153	337
313	154	337
314	154	336
315	154	335
316	155	334
317	155	333
318	156	333
319	156	332
320	156	331
321	157	331
322	157	330
323	157	329
324	158	328
325	158	327
326	158	327
327	159	326
328	159	325
329	160	324
330	160	324
331	160	323
332	160	322
333	161	321
334	161	320
335	161	319
336	162	318
337	162	318
338	162	317
339	163	316
340	163	315
341	163	314
342	163	314
343	164	313
344	164	312
345	164	311
346	165	311
347	165	310
348	165	309
349	166	308
350	166	307
351	166	307
352	167	306
353	167	305
354	167	304
355	168	303
356	168	303
357	168	302
358	169	301
359	169	301
360	169	300
361	170	299
362	170	298
363	170	298
364	170	297
365	171	296
366	171	295
367	171	295
368	172	294
369	172	293
370	172	292
371	173	292
372	173	291
373	173	290
374	174	290
375	174	289
376	174	288
377	175	288
378	175	287
379	175	286
380	176	286
381	176	285
382	176	284
383	177	284
384	177	283
385	177	282
386	178	281
387	178	281
388	178	280
389	178	279
390	179	279
391	179	278
392	179	277
393	179	276
394	180	276
395	180	275
396	180	274
397	180	273
398	181	272
399	181	272
400	181	271
401	181	270
402	182	269
403	182	269
404	182	268
405	182	267
406	183	266
407	183	265
408	183	265
409	183	264
410	184	263
411	184	263
412	184	262
413	184	261
414	184	260
415	185	260
416	185	259
417	185	258
418	185	257
419	186	257
420	186	256
421	186	255
422	187	255
423	187	254
424	187	253
425	187	253
426	188	252
427	188	251
428	188	251
429	188	250
430	189	249
431	189	249
432	189	248
433	189	247
434	190	247
435	190	246
436	190	245
437	190	245
438	191	244
439	191	243
440	191	243
441	191	242
442	192	241
443	192	241
444	192	240
445	192	239
446	193	238
447	193	238
448	193	237
449	193	236
450	194	236
451	194	235
452	194	235
453	194	234
454	195	233
455	195	233
456	195	232
457	195	231
458	196	231
459	196	230
460	196	229
461	196	229
462	197	228
463	197	227
464	197	227
465	197	226
466	198	226
467	198	225
468	198	224
469	198	224
470	199	223
471	199	222
472	199	222
473	199	221
474	200	221
475	200	220
476	200	219
477	200	219
478	201	218
479	201	218
480	201	217
481	201	216
482	202	216
483	202	215
484	202	215
485	202	214
486	203	213
487	203	213
488	203	212
489	203	212
490	204	211
491	204	211
492	204	210
493	204	209
494	205	209
495	205	208
496	205	208
497	205	207
498	206	206
499	206	206
500	206	205
501	206	205
502	207	204
503	207	204
504	207	203
505	207	202
506	208	202
507	208	201
508	208	201
509	208	200
510	209	200
511	209	199
512	209	198
513	209	198
514	210	197
515	210	197
516	210	196
517	210	196
518	211	195
519	211	195
520	211	194
521	211	193
522	211	193
523	212	192
524	212	192
525	212	191
526	212	191
527	213	190
528	213	190
529	213	189
530	213	188
531	214	188
532	214	187
533	214	187
534	214	186
535	215	186
536	215	185
537	215	185
538	215	184
539	216	184
540	216	183
541	216	183
542	216	182
543	217	182
544	217	181
545	217	180
546	217	180
547	218	179
548	218	179
549	218	178
550	218	178
551	219	177
552	219	177
553	219	176
554	219	176
555	220	175
556	220	175
557	220	174
558	220	174
559	221	173
560	221	173
561	221	172
562	221	172
563	222	171
564	222	171
565	222	170
566	222	170
567	223	169
568	223	169
569	223	168
570	223	168
571	224	167
572	224	167
573	224	166
574	224	166
575	225	165
576	225	165
577	225	164
578	225	164
579	226	163
580	226	163
581	226	162
582	226	162
583	226	161
584	227	161
585	227	160
586	227	160
587	227	159
588	228	159
589	228	158
590	228	158
591	228	157
592	228	157
593	229	156
594	229	156
595	229	155
596	229	155
597	230	154
598	230	154
599	230	153
600	230	153
601	231	152
602	231	152
603	231	151
604	231	151
605	232	150
606	232	150
607	232	149
608	232	149
609	232	148
610	233	148
611	233	147
612	233	147
613	233	147
614	234	146
615	234	146
616	234	145
617	234	145
618	235	144
619	235	144
620	235	143
621	235	143
622	236	142
623	236	142
624	236	141
625	236	141
626	236	140
627	237	140
628	237	140
629	237	139
630	237	139
631	238	138
632	238	138
633	238	137
634	238	137
635	239	136
636	239	136
637	239	135
638	239	135
639	240	135
640	240	134
641	240	134
642	240	133
643	241	133
644	241	132
645	241	132
646	241	131
647	242	131
648	242	131
649	242	130
650	242	130
651	243	129
652	243	129
653	243	128
654	243	128
655	244	127
656	244	127
657	244	127
658	244	126
659	244	126
660	245	125
661	245	125
662	245	124
663	245	124
664	246	123
665	246	123
666	246	123
667	246	122
668	247	122
669	247	121
670	247	121
671	247	120
672	248	120
673	248	120
674	248	119
675	248	119
676	249	118
677	249	118
678	249	117
679	249	117
680	249	117
681	250	116
682	250	116
683	250	115
684	251	115
685	251	115
686	251	114
687	251	114
688	252	113
689	252	113
690	252	112
691	252	112
692	253	112
693	253	111
694	253	111
695	253	110
696	253	110
697	254	109
698	254	109
699	254	109
700	254	108
701	255	108
702	255	107
703	255	107
704	255	107
705	256	106
706	256	106
707	256	105
708	256	105
709	257	104
710	257	104
711	257	104
712	257	103
713	258	103
714	258	102
715	258	102
716	258	102
717	258	101
718	259	101
719	259	100
720	259	100
721	259	100
722	260	99
723	260	99
724	260	98
725	260	98
726	261	98
727	261	97
728	261	97
729	261	96
730	262	96
731	262	96
732	262	95
733	262	95
734	263	94
735	263	94
736	263	94
737	263	93
738	263	93
739	264	92
740	264	92
741	264	92
742	264	91
743	265	91
744	265	90
745	265	90
746	265	90
747	266	89
748	266	89
749	266	88
750	266	88
751	267	88
752	267	87
753	267	87
754	267	86
755	268	86
756	268	86
757	268	85
758	268	85
759	269	84
760	269	84
761	269	84
762	269	83
763	269	83
764	270	82
765	270	82
766	270	82
767	270	81
768	271	81
769	271	81
770	271	80
771	271	80
772	272	79
773	272	79
774	272	79
775	272	78
776	273	78
777	273	77
778	273	77
779	273	77
780	273	76
781	274	76
782	274	76
783	274	75
784	274	75
785	275	74
786	275	74
787	275	74
788	275	73
789	276	73
790	276	73
791	276	72
792	276	72
793	276	71
794	277	71
795	277	71
796	277	70
797	277	70
798	278	69
799	278	69
800	278	69
801	278	68
802	279	68
803	279	68
804	279	67
805	279	67
806	280	66
807	280	66
808	280	66
809	280	65
810	281	65
811	281	65
812	281	64
813	281	64
814	282	64
815	282	63
816	282	63
817	282	62
818	283	62
819	283	62
820	283	61
821	283	61
822	284	61
823	284	60
824	284	60
825	285	60
826	285	59
827	285	59
828	286	59
829	286	58
830	287	58
831	287	58
832	287	57
833	287	57
834	288	56
835	288	56
836	288	56
837	289	55
838	289	55
839	289	55
840	290	54
841	290	54
842	290	54
843	291	53
844	291	53
845	291	53
846	292	52
847	292	52
848	292	52
849	293	51
850	293	51
851	293	51
852	293	50
853	294	50
854	294	49
855	294	49
856	294	49
857	295	48
858	295	48
859	295	48
860	295	47
861	296	47
862	296	47
863	296	46
864	296	46
865	297	45
866	297	45
867	297	45
868	297	44
869	298	44
870	298	44
871	298	43
872	298	43
873	299	43
874	299	42
875	299	42
876	299	42
877	300	41
878	300	41
879	300	40
880	300	40
881	301	40
882	301	39
883	301	39
884	301	39
885	302	38
886	302	38
887	302	38
888	302	37
889	303	37
890	303	37
891	303	36
892	303	36
893	304	36
894	304	35
895	304	35
896	304	34
897	305	34
898	305	34
899	305	33
900	305	33
901	305	33
902	306	32
903	306	32
904	306	32
905	306	31
906	307	31
907	307	31
908	307	30
909	307	30
910	308	30
911	308	29
912	308	29
913	308	29
914	309	28
915	309	28
916	309	28
917	309	27
918	310	27
919	310	26
920	310	26
921	310	26
922	311	25
923	311	25
924	311	25
925	311	24
926	312	24
927	312	24
928	312	23
929	312	23
930	313	23
931	313	22
932	313	22
933	313	22
934	314	21
935	314	21
936	314	21
937	314	20
938	315	20
939	315	20
940	315	19
941	315	19
942	316	19
943	316	18
944	316	18
945	316	18
946	317	17
