iter	RMSE
0	14.90925856
1	14.8115404
2	14.712673
3	14.61222172
4	14.51851771
5	14.43707069
6	14.34349181
7	14.26430339
8	14.17917555
9	14.08251003
10	13.98492119
11	13.90030821
12	13.81181362
13	13.72317542
14	13.63492711
15	13.54090436
16	13.45593927
17	13.37197324
18	13.28429124
19	13.20226308
20	13.12453216
21	13.04868063
22	12.96332785
23	12.87902662
24	12.79867716
25	12.72382746
26	12.64518863
27	12.57351371
28	12.49880389
29	12.43079763
30	12.35543478
31	12.27772167
32	12.20152051
33	12.13299412
34	12.05695336
35	11.9874225
36	11.91193964
37	11.84817883
38	11.77645217
39	11.70417571
40	11.6354579
41	11.57158751
42	11.50581973
43	11.43661355
44	11.37074125
45	11.30577596
46	11.24339117
47	11.18210388
48	11.12174328
49	11.06338179
50	11.00016531
51	10.93811401
52	10.88146681
53	10.82290454
54	10.76730518
55	10.70796248
56	10.64772741
57	10.58859701
58	10.53267716
59	10.48323499
60	10.42784604
61	10.37097085
62	10.32055625
63	10.26375646
64	10.20739228
65	10.14943144
66	10.09476093
67	10.04366511
68	9.994614877
69	9.941920438
70	9.888391649
71	9.839629505
72	9.791417038
73	9.740657248
74	9.691259257
75	9.64276582
76	9.598914853
77	9.552855209
78	9.507071353
79	9.468075086
80	9.420873951
81	9.375091367
82	9.327836533
83	9.289291737
84	9.244897585
85	9.200107674
86	9.158773472
87	9.116700386
88	9.074933242
89	9.031036977
90	8.995351038
91	8.952618139
92	8.908773058
93	8.87062845
94	8.831848351
95	8.795715246
96	8.755839646
97	8.720977534
98	8.686203294
99	8.649513737
