iter	Passed	Remaining
0	59	59379
1	59	29818
2	60	19986
3	60	15054
4	60	12090
5	61	10131
6	61	8729
7	61	7667
8	62	6849
9	62	6197
10	62	5658
11	63	5208
12	63	4827
13	63	4501
14	64	4217
15	64	3967
16	64	3745
17	65	3553
18	65	3381
19	65	3226
20	66	3084
21	66	2958
22	66	2840
23	67	2729
24	67	2634
25	67	2541
26	68	2456
27	68	2378
28	68	2303
29	69	2235
30	69	2174
31	69	2115
32	70	2058
33	70	2003
34	70	1952
35	71	1906
36	71	1861
37	71	1818
38	72	1778
39	72	1738
40	72	1703
41	73	1670
42	73	1637
43	73	1606
44	74	1576
45	74	1547
46	74	1518
47	75	1491
48	75	1464
49	75	1439
50	76	1416
51	76	1392
52	76	1370
53	76	1348
54	77	1329
55	77	1310
56	77	1290
57	78	1272
58	78	1254
59	79	1238
60	79	1221
61	79	1205
62	79	1188
63	80	1173
64	80	1159
65	80	1145
66	81	1131
67	81	1119
68	82	1106
69	82	1094
70	82	1083
71	83	1070
72	83	1058
73	83	1047
74	84	1036
75	84	1025
76	84	1014
77	84	1003
78	85	992
79	85	982
80	85	972
81	85	962
82	86	951
83	86	942
84	86	934
85	87	926
86	87	918
87	87	910
88	88	903
89	88	895
90	88	887
91	89	880
92	89	874
93	90	867
94	90	860
95	90	853
96	90	846
97	91	840
98	91	834
99	92	828
100	92	822
101	92	816
102	93	810
103	93	804
104	93	798
105	94	793
106	94	788
107	94	782
108	95	777
109	95	771
110	95	766
111	96	761
112	96	756
113	96	751
114	97	747
115	97	742
116	97	737
117	98	733
118	98	729
119	98	725
120	99	720
121	99	715
122	99	710
123	100	706
124	100	702
125	100	698
126	100	694
127	101	690
128	101	686
129	102	683
130	102	679
131	102	675
132	103	671
133	103	668
134	103	664
135	103	660
136	104	656
137	104	652
138	104	649
139	105	645
140	105	641
141	105	637
142	105	634
143	106	630
144	106	627
145	106	624
146	107	621
147	107	617
148	107	614
149	107	611
150	108	609
151	108	606
152	108	603
153	109	600
154	109	597
155	109	594
156	110	592
157	110	589
158	110	586
159	111	583
160	111	580
161	111	578
162	112	576
163	112	573
164	112	571
165	113	569
166	113	566
167	113	563
168	114	561
169	114	559
170	114	557
171	115	555
172	115	552
173	115	550
174	116	547
175	116	545
176	116	543
177	117	541
178	117	539
179	117	536
180	118	534
181	118	532
182	118	529
183	119	527
184	119	525
185	119	523
186	119	521
187	120	518
188	120	516
189	120	514
190	121	512
191	121	510
192	121	508
193	121	506
194	122	504
195	122	502
196	122	500
197	123	498
198	123	496
199	123	494
200	124	492
201	124	491
202	124	489
203	125	487
204	125	486
205	125	484
206	126	483
207	126	481
208	126	479
209	127	478
210	127	476
211	127	475
212	128	473
213	128	471
214	128	470
215	129	468
216	129	467
217	129	465
218	130	464
219	130	462
220	130	461
221	131	459
222	131	458
223	131	456
224	132	454
225	132	453
226	132	451
227	132	450
228	133	448
229	133	447
230	133	445
231	134	444
232	134	442
233	134	441
234	135	439
235	135	438
236	135	436
237	135	435
238	136	433
239	136	432
240	136	431
241	137	430
242	137	428
243	137	427
244	138	426
245	138	424
246	138	423
247	139	422
248	139	420
249	139	419
250	140	418
251	140	416
252	140	415
253	141	414
254	141	412
255	141	411
256	141	410
257	142	409
258	142	407
259	142	406
260	143	405
261	143	404
262	143	402
263	144	401
264	144	400
265	144	399
266	144	397
